godzina,wartosc
2019.02.01_00:00,4.263380
2019.02.01_00:01,4.263370
2019.02.01_00:02,4.263430
2019.02.01_00:03,4.263510
2019.02.01_00:04,4.263480
2019.02.01_00:05,4.263470
2019.02.01_00:06,4.263370
2019.02.01_00:07,4.263980
2019.02.01_00:08,4.263770
2019.02.01_00:09,4.263770
2019.02.01_00:10,4.263570
2019.02.01_00:11,4.263780
2019.02.01_00:12,4.263580
2019.02.01_00:13,4.263770
2019.02.01_00:14,4.263680
2019.02.01_00:15,4.263600
2019.02.01_00:16,4.263600
2019.02.01_00:17,4.263610
2019.02.01_00:18,4.263610
2019.02.01_00:19,4.263620
2019.02.01_00:20,4.263610
2019.02.01_00:21,4.263600
2019.02.01_00:22,4.263720
2019.02.01_00:23,4.263610
2019.02.01_00:24,4.263720
2019.02.01_00:25,4.263680
2019.02.01_00:26,4.263630
2019.02.01_00:27,4.263620
2019.02.01_00:28,4.263620
2019.02.01_00:29,4.263630
2019.02.01_00:30,4.263620
2019.02.01_00:31,4.263630
2019.02.01_00:32,4.263630
2019.02.01_00:33,4.263620
2019.02.01_00:34,4.263620
2019.02.01_00:35,4.263620
2019.02.01_00:36,4.263620
2019.02.01_00:37,4.263620
2019.02.01_00:38,4.263670
2019.02.01_00:39,4.263870
2019.02.01_00:40,4.263870
2019.02.01_00:41,4.263770
2019.02.01_00:42,4.263540
2019.02.01_00:43,4.263540
2019.02.01_00:44,4.263980
2019.02.01_00:45,4.263970
2019.02.01_00:47,4.263620
2019.02.01_00:48,4.263620
2019.02.01_00:49,4.263970
2019.02.01_00:50,4.264170
2019.02.01_00:51,4.264170
2019.02.01_00:52,4.264170
2019.02.01_00:53,4.264170
2019.02.01_00:54,4.263700
2019.02.01_00:55,4.263710
2019.02.01_00:56,4.263870
2019.02.01_00:57,4.263870
2019.02.01_00:58,4.263880
2019.02.01_00:59,4.263970
2019.02.01_01:00,4.263590
2019.02.01_01:02,4.263630
2019.02.01_01:03,4.263730
2019.02.01_01:04,4.263780
2019.02.01_01:05,4.263560
2019.02.01_01:06,4.263480
2019.02.01_01:07,4.263670
2019.02.01_01:08,4.263700
2019.02.01_01:09,4.263710
2019.02.01_01:10,4.263620
2019.02.01_01:11,4.263670
2019.02.01_01:12,4.263570
2019.02.01_01:13,4.263770
2019.02.01_01:14,4.263570
2019.02.01_01:15,4.263540
2019.02.01_01:16,4.263540
2019.02.01_01:17,4.263540
2019.02.01_01:18,4.263550
2019.02.01_01:19,4.263570
2019.02.01_01:20,4.263570
2019.02.01_01:21,4.263580
2019.02.01_01:22,4.263560
2019.02.01_01:23,4.263560
2019.02.01_01:24,4.263550
2019.02.01_01:25,4.263560
2019.02.01_01:26,4.263980
2019.02.01_01:27,4.263710
2019.02.01_01:28,4.263980
2019.02.01_01:29,4.263930
2019.02.01_01:30,4.263940
2019.02.01_01:31,4.263820
2019.02.01_01:32,4.263830
2019.02.01_01:33,4.263730
2019.02.01_01:34,4.264370
2019.02.01_01:35,4.263910
2019.02.01_01:36,4.264070
2019.02.01_01:37,4.263640
2019.02.01_01:38,4.263770
2019.02.01_01:39,4.263630
2019.02.01_01:40,4.263630
2019.02.01_01:41,4.263630
2019.02.01_01:42,4.263720
2019.02.01_01:43,4.263630
2019.02.01_01:44,4.263630
2019.02.01_01:45,4.263630
2019.02.01_01:46,4.263640
2019.02.01_01:47,4.263640
2019.02.01_01:48,4.263800
2019.02.01_01:49,4.264670
2019.02.01_01:50,4.264980
2019.02.01_01:51,4.264870
2019.02.01_01:52,4.264870
2019.02.01_01:53,4.264980
2019.02.01_01:54,4.265070
2019.02.01_01:55,4.265070
2019.02.01_01:56,4.265060
2019.02.01_01:57,4.265230
2019.02.01_01:58,4.263980
2019.02.01_01:59,4.264420
2019.02.01_02:00,4.264170
2019.02.01_02:01,4.264400
2019.02.01_02:02,4.264180
2019.02.01_02:03,4.264310
2019.02.01_02:04,4.264280
2019.02.01_02:05,4.264180
2019.02.01_02:06,4.264180
2019.02.01_02:07,4.264170
2019.02.01_02:08,4.264170
2019.02.01_02:09,4.264170
2019.02.01_02:10,4.264270
2019.02.01_02:11,4.264270
2019.02.01_02:12,4.264280
2019.02.01_02:13,4.264390
2019.02.01_02:14,4.264370
2019.02.01_02:15,4.264430
2019.02.01_02:16,4.264310
2019.02.01_02:17,4.265280
2019.02.01_02:18,4.265480
2019.02.01_02:19,4.265170
2019.02.01_02:20,4.265280
2019.02.01_02:21,4.265480
2019.02.01_02:22,4.265380
2019.02.01_02:23,4.265370
2019.02.01_02:24,4.265380
2019.02.01_02:25,4.265280
2019.02.01_02:26,4.265470
2019.02.01_02:27,4.265790
2019.02.01_02:28,4.265870
2019.02.01_02:29,4.265770
2019.02.01_02:30,4.265470
2019.02.01_02:31,4.265570
2019.02.01_02:32,4.265780
2019.02.01_02:33,4.266070
2019.02.01_02:34,4.266170
2019.02.01_02:35,4.266280
2019.02.01_02:36,4.266190
2019.02.01_02:37,4.266440
2019.02.01_02:38,4.266380
2019.02.01_02:39,4.266400
2019.02.01_02:40,4.266530
2019.02.01_02:41,4.265980
2019.02.01_02:42,4.266170
2019.02.01_02:43,4.265980
2019.02.01_02:44,4.265970
2019.02.01_02:45,4.266070
2019.02.01_02:46,4.266850
2019.02.01_02:47,4.266740
2019.02.01_02:48,4.266690
2019.02.01_02:49,4.266740
2019.02.01_02:50,4.266570
2019.02.01_02:51,4.266610
2019.02.01_02:52,4.266570
2019.02.01_02:53,4.266860
2019.02.01_02:54,4.266820
2019.02.01_02:55,4.267150
2019.02.01_02:56,4.266780
2019.02.01_02:57,4.267020
2019.02.01_02:58,4.267470
2019.02.01_02:59,4.267170
2019.02.01_03:00,4.266990
2019.02.01_03:01,4.266680
2019.02.01_03:02,4.266370
2019.02.01_03:03,4.265870
2019.02.01_03:04,4.266070
2019.02.01_03:05,4.265970
2019.02.01_03:06,4.265970
2019.02.01_03:07,4.265980
2019.02.01_03:08,4.265970
2019.02.01_03:09,4.266130
2019.02.01_03:10,4.266070
2019.02.01_03:11,4.266080
2019.02.01_03:12,4.266080
2019.02.01_03:13,4.265870
2019.02.01_03:14,4.265670
2019.02.01_03:15,4.265270
2019.02.01_03:16,4.265680
2019.02.01_03:17,4.265580
2019.02.01_03:18,4.265670
2019.02.01_03:19,4.265570
2019.02.01_03:20,4.265480
2019.02.01_03:21,4.265270
2019.02.01_03:22,4.264670
2019.02.01_03:23,4.264660
2019.02.01_03:24,4.265170
2019.02.01_03:25,4.265480
2019.02.01_03:26,4.265670
2019.02.01_03:27,4.265680
2019.02.01_03:28,4.265780
2019.02.01_03:29,4.265680
2019.02.01_03:30,4.265560
2019.02.01_03:31,4.265680
2019.02.01_03:32,4.265570
2019.02.01_03:33,4.265670
2019.02.01_03:34,4.265570
2019.02.01_03:35,4.265670
2019.02.01_03:36,4.265670
2019.02.01_03:37,4.265870
2019.02.01_03:38,4.265770
2019.02.01_03:39,4.265670
2019.02.01_03:40,4.265670
2019.02.01_03:41,4.265570
2019.02.01_03:42,4.265670
2019.02.01_03:43,4.266570
2019.02.01_03:44,4.266580
2019.02.01_03:45,4.266670
2019.02.01_03:46,4.266980
2019.02.01_03:47,4.267770
2019.02.01_03:48,4.267770
2019.02.01_03:49,4.268000
2019.02.01_03:50,4.268170
2019.02.01_03:51,4.268180
2019.02.01_03:52,4.268020
2019.02.01_03:53,4.268080
2019.02.01_03:54,4.268270
2019.02.01_03:55,4.268610
2019.02.01_03:56,4.268480
2019.02.01_03:57,4.268810
2019.02.01_03:58,4.269280
2019.02.01_03:59,4.269550
2019.02.01_04:00,4.269570
2019.02.01_04:01,4.269570
2019.02.01_04:02,4.269880
2019.02.01_04:03,4.270170
2019.02.01_04:04,4.269670
2019.02.01_04:05,4.269770
2019.02.01_04:06,4.269670
2019.02.01_04:07,4.269970
2019.02.01_04:08,4.269770
2019.02.01_04:09,4.270070
2019.02.01_04:10,4.269770
2019.02.01_04:11,4.269770
2019.02.01_04:12,4.269780
2019.02.01_04:13,4.270570
2019.02.01_04:14,4.270280
2019.02.01_04:15,4.270970
2019.02.01_04:16,4.270870
2019.02.01_04:17,4.271070
2019.02.01_04:18,4.270970
2019.02.01_04:19,4.270770
2019.02.01_04:20,4.271460
2019.02.01_04:21,4.271770
2019.02.01_04:22,4.272670
2019.02.01_04:23,4.271770
2019.02.01_04:24,4.272670
2019.02.01_04:25,4.272670
2019.02.01_04:26,4.272970
2019.02.01_04:27,4.273400
2019.02.01_04:28,4.273470
2019.02.01_04:29,4.273580
2019.02.01_04:30,4.273880
2019.02.01_04:31,4.274180
2019.02.01_04:32,4.274080
2019.02.01_04:33,4.274010
2019.02.01_04:34,4.273480
2019.02.01_04:35,4.273180
2019.02.01_04:36,4.273270
2019.02.01_04:37,4.273180
2019.02.01_04:38,4.272370
2019.02.01_04:39,4.272080
2019.02.01_04:40,4.271870
2019.02.01_04:41,4.272170
2019.02.01_04:42,4.272270
2019.02.01_04:43,4.271580
2019.02.01_04:44,4.271170
2019.02.01_04:45,4.270470
2019.02.01_04:46,4.269900
2019.02.01_04:47,4.270210
2019.02.01_04:48,4.269470
2019.02.01_04:49,4.269570
2019.02.01_04:50,4.269560
2019.02.01_04:51,4.269470
2019.02.01_04:52,4.269470
2019.02.01_04:53,4.269430
2019.02.01_04:54,4.269540
2019.02.01_04:55,4.269670
2019.02.01_04:56,4.269660
2019.02.01_04:57,4.269970
2019.02.01_04:58,4.270170
2019.02.01_04:59,4.270270
2019.02.01_05:00,4.270170
2019.02.01_05:01,4.270170
2019.02.01_05:02,4.269780
2019.02.01_05:03,4.269870
2019.02.01_05:04,4.270170
2019.02.01_05:05,4.269970
2019.02.01_05:06,4.270070
2019.02.01_05:07,4.270270
2019.02.01_05:08,4.270680
2019.02.01_05:09,4.270720
2019.02.01_05:10,4.270690
2019.02.01_05:11,4.270680
2019.02.01_05:12,4.271270
2019.02.01_05:13,4.271570
2019.02.01_05:14,4.271580
2019.02.01_05:15,4.271720
2019.02.01_05:16,4.272070
2019.02.01_05:17,4.272110
2019.02.01_05:18,4.272070
2019.02.01_05:19,4.272270
2019.02.01_05:20,4.272070
2019.02.01_05:21,4.271420
2019.02.01_05:22,4.271580
2019.02.01_05:23,4.271570
2019.02.01_05:24,4.271650
2019.02.01_05:25,4.271570
2019.02.01_05:26,4.271380
2019.02.01_05:27,4.271080
2019.02.01_05:28,4.270770
2019.02.01_05:29,4.270670
2019.02.01_05:30,4.270570
2019.02.01_05:31,4.270780
2019.02.01_05:32,4.271070
2019.02.01_05:33,4.270980
2019.02.01_05:34,4.270970
2019.02.01_05:35,4.270870
2019.02.01_05:36,4.270770
2019.02.01_05:37,4.270590
2019.02.01_05:38,4.270870
2019.02.01_05:39,4.270410
2019.02.01_05:40,4.270420
2019.02.01_05:41,4.270270
2019.02.01_05:42,4.270370
2019.02.01_05:43,4.270370
2019.02.01_05:44,4.270270
2019.02.01_05:45,4.270300
2019.02.01_05:46,4.270270
2019.02.01_05:47,4.270180
2019.02.01_05:48,4.270080
2019.02.01_05:49,4.269870
